"filename", "language", "HTML", "JavaScript", "XML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\Alex Francis\Desktop\myproject\app.js", "JavaScript", 0, 694, 0, 0, 0, 58, 104, 856
"c:\Users\Alex Francis\Desktop\myproject\package-lock.json", "JSON", 0, 0, 0, 17987, 0, 0, 1, 17988
"c:\Users\Alex Francis\Desktop\myproject\package.json", "JSON", 0, 0, 0, 28, 0, 0, 1, 29
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\ArrowStroke.svg", "XML", 0, 0, 15, 0, 0, 1, 1, 17
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\LogoOutline.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\ScrollToButton.svg", "XML", 0, 0, 14, 0, 0, 1, 1, 16
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\Stickers\PsycleLogo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\Stickers\logoOutline.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\addrarrow.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\arrow.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\cancel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\cart.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\cust-slider-01.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\delivery.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\down.svg", "XML", 0, 0, 8, 0, 0, 1, 1, 10
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\facebook.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\favicon.svg", "XML", 0, 0, 45, 0, 0, 1, 1, 47
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\gradient.svg", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\info.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\insights.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\insta.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\logout.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\orders.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\pdfdwnldicn.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\success-lg.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\success-rg.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\twitter.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Assets\user.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\admin.js", "JavaScript", 0, 686, 0, 0, 0, 47, 109, 842
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\generalhome.js", "JavaScript", 0, 263, 0, 0, 0, 12, 30, 305
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\generalpsyclelab.js", "JavaScript", 0, 436, 0, 0, 0, 26, 60, 522
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\gsap.js", "JavaScript", 0, 41, 0, 0, 0, 3, 20, 64
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\jquery.stellar.min.js", "JavaScript", 0, 533, 0, 0, 0, 20, 98, 651
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\myaccount.js", "JavaScript", 0, 663, 0, 0, 0, 31, 107, 801
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\psyclelab.js", "JavaScript", 0, 1486, 0, 0, 0, 32, 193, 1711
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\scrooth.js", "JavaScript", 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\skrollr.js", "JavaScript", 0, 1092, 0, 0, 0, 324, 365, 1781
"c:\Users\Alex Francis\Desktop\myproject\public\Javascript\threejs.js", "JavaScript", 0, 440, 0, 0, 0, 27, 78, 545
"c:\Users\Alex Francis\Desktop\myproject\public\aboutus.html", "HTML", 346, 0, 0, 0, 0, 0, 48, 394
"c:\Users\Alex Francis\Desktop\myproject\public\admin.html", "HTML", 214, 0, 0, 0, 0, 44, 23, 281
"c:\Users\Alex Francis\Desktop\myproject\public\adminlogin.html", "HTML", 87, 0, 0, 0, 0, 0, 9, 96
"c:\Users\Alex Francis\Desktop\myproject\public\css.css", "CSS", 0, 0, 0, 0, 1955, 52, 300, 2307
"c:\Users\Alex Francis\Desktop\myproject\public\db\addrschema.js", "JavaScript", 0, 44, 0, 0, 0, 1, 2, 47
"c:\Users\Alex Francis\Desktop\myproject\public\db\addtocartSchema.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 81
"c:\Users\Alex Francis\Desktop\myproject\public\db\adminSchema.js", "JavaScript", 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\Alex Francis\Desktop\myproject\public\db\conn.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Alex Francis\Desktop\myproject\public\db\invoicesSchema.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Alex Francis\Desktop\myproject\public\db\ordersSchema.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 91
"c:\Users\Alex Francis\Desktop\myproject\public\db\userschema.js", "JavaScript", 0, 29, 0, 0, 0, 1, 6, 36
"c:\Users\Alex Francis\Desktop\myproject\public\index.html", "HTML", 318, 0, 0, 0, 0, 3, 28, 349
"c:\Users\Alex Francis\Desktop\myproject\public\myAccount.html", "HTML", 362, 0, 0, 0, 0, 23, 33, 418
"c:\Users\Alex Francis\Desktop\myproject\public\privacy.html", "HTML", 116, 0, 0, 0, 0, 0, 25, 141
"c:\Users\Alex Francis\Desktop\myproject\public\psyclelab.html", "HTML", 845, 0, 0, 0, 0, 9, 47, 901
"c:\Users\Alex Francis\Desktop\myproject\public\terms.html", "HTML", 126, 0, 0, 0, 0, 0, 30, 156
"Total", "-", 2414, 6672, 107, 18015, 1955, 717, 1736, 31616